playerid,name,mlb,pos,vpos,age,pts,par,base_value,league_value,salary,surplus,arb,keeper_salary,keeper_surplus,keeper_npv,cut_gain,owner
11156,Merrill Kelly,ARI,SP,SP,37,701.8,144.6,16,,,,,,,,,FA
15440,Matthew Boyd,CHC,SP,SP,35,701.0,143.8,16,,6.0,10.0,2,10.0,6.0,0.0,-13.0,Providence Grays
20302,David Peterson,CHC,SP,SP,30,706.1,148.8,16,,5.0,11.0,2,9.0,7.0,1.6,-14.0,Twin Pines 🌲🌲
27479,Masyn Winn,STL,SS,SS,24,700.5,139.5,15,,,,,,,,,FA
21636,Jeremy Peña,HOU,SS,SS,28,700.6,139.6,15,,8.0,7.0,2,12.0,3.0,1.1,-11.0,Bloom's Onions
16505,Matt Chapman,SFG,3B,3B,33,698.0,137.0,15,,,,,,,,,FA
12552,Eugenio Suárez,CIN,3B,3B,34,699.5,138.5,15,,8.0,7.0,2,12.0,3.0,0.0,-11.0,Barreled Souls
27498,Spencer Strider,ATL,SP,SP,27,699.8,142.6,15,,15.0,0.0,0,17.0,-2.0,0.0,-8.0,Providence Grays
29839,Emmet Sheehan,LAD,SP,SP,26,694.7,137.7,15,,3.0,12.0,3,8.0,7.0,2.0,-14.0,Peel A Section
16137,Carlos Rodón,NYY,SP,SP,33,696.1,139.0,15,,21.0,-6.0,0,23.0,-8.0,0.0,-5.0,Rock the Casasbah
17594,Mitch Keller,PIT,SP,SP,30,692.9,135.9,15,,,,,,,,,FA
22799,Geraldo Perdomo,ARI,SS,SS,26,686.0,125.0,14,,9.0,5.0,1,12.0,2.0,0.4,-10.0,The Northsiders
21479,Nico Hoerner,CHC,2B/SS,2B,29,668.9,132.6,14,,11.0,3.0,1,14.0,0.0,0.0,-9.0,Peel A Section
20454,Jazz Chisholm Jr.,NYY,2B/3B,2B,28,667.8,131.5,14,,23.0,-9.0,0,25.0,-11.0,0.0,-3.0,Twin Pines 🌲🌲
25931,Michael Harris II,ATL,OF,OF,25,603.5,131.7,14,,8.0,6.0,1,11.0,3.0,1.6,-10.0,Sweet Spot
25768,CJ Abrams,WSN,SS,SS,25,693.7,132.7,14,,17.0,-3.0,0,19.0,-5.0,0.0,-6.0,Sweet Spot
18568,Luis Arraez,PHI,1B/2B,2B,29,662.1,125.8,14,,5.0,9.0,2,9.0,5.0,2.0,-12.0,Rock the Casasbah
27467,Tyler Soderstrom,ATH,1B/OF,OF,24,602.4,130.6,14,,7.0,7.0,2,11.0,3.0,1.5,-11.0,Providence Grays
